chinese
被疏遠的
被激怒的
被背叛 被出賣
受嚴重打擊
受辱的
精神受刺激
被激怒的
受威脅
在震驚中
成殘廢
受重傷
被搬弄 被利用
受很大刺激
被激怒的
受震驚
受冒犯的
創傷
創傷的
受創
受創的 有創傷的
被侵犯的 被褻瀆的
受傷的
被拋棄的
受虐的
受辱的
被惹惱的
被打的
被打的
受騙的
受迫的
被判刑
被擊敗的
受辱的
被視如畜生 被否定人性
被否定
被剝奪的
被鄙視
被厭惡
被揭發 被揭短
受辱的
被忽略的
受迫的
受辱的
被虧待 受虧待
被忽略的
被冒犯的
被壓迫的
受迫害的
受拒絕的
被厭惡的
被恨的
被克制的
被不屑的
被搞砸的
遭拒的
被壓抑的
被嘲諷的
被嘲笑的
受挫的
受困的
不受關愛
被利用的
被通緝
被虧待的 受冤枉
哭
笑
微笑
啜泣 哽咽
眼泪 眼淚 沾襟
淚眼汪汪的
想哭的 淚眼汪汪的
盡情地 難禁地
羞愧的
討厭的
厭惡
厭惡
仰慕
仰慕的
仰慕
鍾愛
有情 深情
喜愛的
痛苦
痛苦的
害怕的
討厭的 惱火
惱火
惱怒的
驚恐的
焦躁 不安
痛苦
擔憂的
疏遠的
疏遠
舒緩的
驚訝的
驚訝
多情的
生氣
生氣的
生氣的
更氣的
最氣的 氣死了
痛苦的
痛苦的 感懷傷神
擾亂的 心煩
惱人
期望
期望
不安的 焦慮
不安
驚嚇的
緩解的
感激
感激的
感激
被欣賞的 被感謝的 受感激的
擔心的
贊同
熱切的
熱切
羞愧的
緩解的
驚訝的
驚訝
驚訝
依戀 依依不捨
被吸引 心之所悅
厭惡
敬畏的
敬畏的
敬畏的
平靜的
困擾的
著迷的
孤寂的
著迷的
苦的
苦樂參半
幸福
幸福的
感到憂鬱
發怒的 怒氣沖冠 怒氣沖沖
心碎的 斷腸 斷魂
受威脅的
愉快 高興
平靜的
著迷的
憂心的
在意
在意
惱怒的
失望 煩悶 懊惱
振奮的
高興的
陰鬱的 淒然
珍惜的 愛惜 憐惜
放鬆的
親近
同情的
同情
同情
同情
內疚
在意
令人欣慰的
感到安慰的
感到不安
鄙視的
輕蔑的
滿意的
滿意的
滿意
懊悔的
懊悔
歡樂的
貪心的
渴望
渴求的
喪氣的
生氣的
生氣 嘔氣
掃興的
怒氣
畏懼的
洩氣的
沮喪的 怏怏不樂
沮喪地
沮喪
享受
喜悅
快樂的
快樂地
可喜的 喜歡的
依賴的
厭惡
慾望
渴望的
悲傷的 淒涼 淒然 黯然
