,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
596,597,一林二虎,0,0,0,0,1,0,0,0,0,0,0,0,0
920,921,萬不矢一,0,0,0,1,0,0,0,0,0,0,0,0,0
595,596,一斗百篇,0,0,0,0,1,0,0,0,0,0,0,0,0
921,922,十親九故,0,0,0,0,1,0,0,0,0,0,0,0,0
922,923,一言半詞,0,0,0,0,1,0,0,0,0,0,0,0,0
923,924,牽三掛四,0,1,0,0,0,0,0,0,0,0,0,0,0
924,925,三房四妾,0,0,0,0,1,0,0,0,0,0,0,0,0
590,591,一歹九徒,0,0,0,0,1,0,0,0,0,0,0,0,0
925,926,十圍五攻,0,0,0,0,1,0,0,0,0,0,0,0,0
926,927,一夕三遷,0,0,0,0,1,0,0,0,0,0,0,0,0
928,929,七顛八倒,0,0,0,0,1,0,0,0,0,0,0,0,0
941,942,千載一遇,0,0,0,0,1,0,0,0,0,0,0,0,0
588,589,四六夾開,0,0,0,0,0,1,0,0,0,0,0,0,0
586,587,一丘一壑,0,0,0,0,1,0,0,0,0,0,0,0,0
917,918,雄師百萬,1,0,0,0,0,0,0,0,0,0,0,0,0
585,586,三親四眷,0,0,0,0,1,0,0,0,0,0,0,0,0
584,585,十寒一暴,0,0,0,0,1,0,0,0,0,0,0,0,0
930,931,捱三頂五,0,1,0,0,0,0,0,0,0,0,0,0,0
962,963,一瞬千里,0,0,0,0,1,0,0,0,0,0,0,0,0
932,933,一出一人,0,0,0,0,1,0,0,0,0,0,0,0,0
934,935,四分五剖,0,0,0,0,1,0,0,0,0,0,0,0,0
583,584,以一知萬,0,1,0,0,0,0,0,0,0,0,0,0,0
582,583,一言一動,0,0,0,0,1,0,0,0,0,0,0,0,0
581,582,三平二滿,0,0,0,0,1,0,0,0,0,0,0,0,0
937,938,一日萬幾,0,0,0,0,1,0,0,0,0,0,0,0,0
579,580,一字一珠,0,0,0,0,1,0,0,0,0,0,0,0,0
578,579,百鍛千煉,0,0,0,0,1,0,0,0,0,0,0,0,0
938,939,一矉一笑,0,0,0,0,1,0,0,0,0,0,0,0,0
577,578,拔十失五,0,1,0,0,0,0,0,0,0,0,0,0,0
599,600,千章萬句,0,0,0,0,1,0,0,0,0,0,0,0,0
916,917,百縱千隨,0,0,0,0,1,0,0,0,0,0,0,0,0
893,894,千秋萬古,0,0,0,0,1,0,0,0,0,0,0,0,0
612,613,一千一方,0,0,1,0,1,1,0,0,0,0,0,0,0
894,895,一鼓一板,0,0,0,0,1,0,0,0,0,0,0,0,0
896,897,一食萬錢,0,0,0,0,1,0,0,0,0,0,0,0,0
623,624,一弛一張,0,0,0,0,1,0,0,0,0,0,0,0,0
622,623,九十為半,0,1,0,1,0,1,0,0,0,0,0,0,0
860,861,半間半界,0,0,0,0,1,0,0,0,0,0,0,0,0
898,899,一壑一立,0,0,0,0,1,0,0,0,0,0,0,0,0
620,621,三熏三沐,0,0,0,0,1,0,0,0,0,0,0,0,0
899,900,二心三意,0,0,0,0,1,0,0,0,0,0,0,0,0
619,620,三薰三沐,0,0,0,0,1,0,0,0,0,0,0,0,0
618,619,半吐半咽,0,0,0,0,1,0,0,0,0,0,0,0,0
900,901,百計千方,0,0,0,0,1,0,0,0,0,0,0,0,0
901,902,一遞一和,0,0,0,0,1,0,0,0,0,0,0,0,0
904,905,調三窩四,0,1,0,0,0,0,0,0,0,0,0,0,0
905,906,千條萬端,0,0,0,0,1,0,0,0,0,0,0,0,0
906,907,萬別千差,0,0,0,0,1,0,0,0,0,0,0,0,0
601,602,一物一制,0,0,0,0,1,0,0,0,0,0,0,0,0
907,908,丈一丈二,0,1,0,0,0,0,0,0,0,0,0,0,0
610,611,諷一勸百,0,1,0,0,0,0,0,0,0,0,0,0,0
609,610,二三其心,0,0,0,0,0,1,0,0,0,0,0,0,0
908,909,一步一鬼,0,0,0,0,1,0,0,0,0,0,0,0,0
909,910,挑三豁四,0,1,0,0,0,0,0,0,0,0,0,0,0
608,609,六張五角,0,0,0,0,1,0,0,0,0,0,0,0,0
942,943,三瓦四舍,0,0,0,0,1,0,0,0,0,0,0,0,0
607,608,四路八方,0,0,0,0,1,0,0,0,0,0,0,0,0
910,911,三沐三薰,0,0,0,0,1,0,0,0,0,0,0,0,0
911,912,言三語四,0,1,0,0,0,0,0,0,0,0,0,0,0
912,913,千態萬狀,0,0,0,0,1,0,0,0,0,0,0,0,0
913,914,一人當百,0,0,0,1,0,0,0,0,0,0,0,0,0
915,916,一物一主,0,0,0,0,1,0,0,0,0,0,0,0,0
961,962,一觴一永,0,0,0,0,1,0,0,0,0,0,0,0,0
673,674,九生一毛,0,0,0,0,1,0,0,0,0,0,0,0,0
856,857,萬物一齊,0,0,0,0,1,0,0,0,0,0,0,0,0
674,675,六街九陽,0,0,0,0,1,0,0,0,0,0,0,0,0
739,740,劃一不二,0,1,0,0,0,0,0,0,0,0,0,0,0
750,751,百二關山,0,0,0,0,0,1,0,0,0,0,0,0,0
749,750,少一缺二,0,1,0,0,0,0,0,0,0,0,0,0,0
804,805,成千論萬,0,1,0,0,0,0,0,0,0,0,0,0,0
747,748,七零八散,0,0,0,0,1,0,0,0,0,0,0,0,0
746,747,一饋十起,0,0,0,0,1,0,0,0,0,0,0,0,0
745,746,一字百金,0,0,0,0,1,0,0,0,0,0,0,0,0
805,806,萬國九州,0,0,0,0,1,0,0,0,0,0,0,0,0
808,809,一言一淚,0,0,0,0,1,0,0,0,0,0,0,0,0
809,810,舉十知九,0,1,0,0,0,0,0,0,0,0,0,0,0
744,745,調三斡四,0,1,0,0,0,0,0,0,0,0,0,0,0
811,812,三親六故,0,0,0,0,1,0,0,0,0,0,0,0,0
742,743,撥萬輪千,0,1,0,0,0,0,0,0,0,0,0,0,0
741,742,三仕三已,0,0,0,0,1,0,0,0,0,0,0,0,0
740,741,七了八當,0,0,0,0,1,0,0,0,0,0,0,0,0
812,813,一酬一酢,0,0,0,0,1,0,0,0,0,0,0,0,0
751,752,誅一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
814,815,一班半點,0,0,0,0,1,0,0,0,0,0,0,0,0
815,816,三上五落,0,0,0,0,1,0,0,0,0,0,0,0,0
817,818,百依百隨,0,0,0,0,1,0,0,0,0,0,0,0,0
735,736,三回五次,0,0,0,0,1,0,0,0,0,0,0,0,0
947,948,千歡萬喜,0,0,0,0,1,0,0,0,0,0,0,0,0
734,735,萬無一誤,0,0,0,0,1,0,0,0,0,0,0,0,0
819,820,拔十得五,0,1,0,0,0,0,0,0,0,0,0,0,0
732,733,六通四闢,0,0,0,0,1,0,0,0,0,0,0,0,0
820,821,千倉萬庫,0,0,0,0,1,0,0,0,0,0,0,0,0
730,731,八紘一字,0,0,0,0,1,0,0,0,0,0,0,0,0
729,730,九烈三貞,0,0,0,0,1,0,0,0,0,0,0,0,0
728,729,一技一能,0,0,0,0,1,0,0,0,0,0,0,0,0
727,728,百金一諾,0,0,0,0,1,0,0,0,0,0,0,0,0
821,822,殲一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
803,804,一謙四益,0,0,0,0,1,0,0,0,0,0,0,0,0
752,753,三眼一板,0,0,0,0,1,0,0,0,0,0,0,0,0
725,726,一龍一豬,0,0,0,0,1,0,0,0,0,0,0,0,0
787,788,千峰萬壑,0,0,0,0,1,0,0,0,0,0,0,0,0
950,951,耕九餘三,0,1,0,0,0,0,0,0,0,0,0,0,0
775,776,千慮一得,0,0,0,0,1,0,0,0,0,0,0,0,0
773,774,門千戶萬,0,1,0,0,0,0,0,0,0,0,0,0,0
778,779,百鍛千鍊,0,0,0,0,1,0,0,0,0,0,0,0,0
770,771,勸百諷一,0,1,0,0,0,0,0,0,0,0,0,0,0
769,770,千岩萬壑,0,0,0,0,1,0,0,0,0,0,0,0,0
768,769,人千人萬,0,1,0,0,0,0,0,0,0,0,0,0,0
767,768,三言五語,0,0,0,0,1,0,0,0,0,0,0,0,0
766,767,四離四絕,0,0,0,0,1,0,0,0,0,0,0,0,0
779,780,有一無二,0,1,0,0,0,0,0,0,0,0,0,0,0
949,950,五鼎一餚,0,0,0,0,1,0,0,0,0,0,0,0,0
781,782,有一得一,0,1,0,0,0,0,0,0,0,0,0,0,0
784,785,求三拜四,0,1,0,0,0,0,0,0,0,0,0,0,0
763,764,一臺二妙,0,0,0,0,1,0,0,0,0,0,0,0,0
790,791,百巧千窮,0,0,0,0,1,0,0,0,0,0,0,0,0
753,754,一成一旅,0,0,0,0,1,0,0,0,0,0,0,0,0
761,762,金釵十二,1,0,0,0,0,0,0,0,0,0,0,0,0
794,795,半吐半吞,0,0,0,0,1,0,0,0,0,0,0,0,0
795,796,一語九鼎,0,0,0,0,1,0,0,0,0,0,0,0,0
797,798,五五三三,1,1,1,1,1,1,0,0,0,0,0,0,0
759,760,四處八方,0,0,0,0,1,0,0,0,0,0,0,0,0
798,799,百不一遇,0,0,0,0,1,0,0,0,0,0,0,0,0
758,759,一漿十餅,0,0,0,0,1,0,0,0,0,0,0,0,0
799,800,千倉萬箱,0,0,0,0,1,0,0,0,0,0,0,0,0
756,757,五令三申,0,0,0,0,1,0,0,0,0,0,0,0,0
755,756,一倡三嘆,0,0,0,0,1,0,0,0,0,0,0,0,0
800,801,撥萬論千,0,1,0,0,0,0,0,0,0,0,0,0,0
801,802,一日九遷,0,0,0,0,1,0,0,0,0,0,0,0,0
754,755,百無一長,0,0,0,0,1,0,0,0,0,0,0,0,0
802,803,一目五行,0,0,0,0,1,0,0,0,0,0,0,0,0
822,823,一身一口,0,0,0,0,1,0,0,0,0,0,0,0,0
724,725,調三幹四,0,1,0,0,0,0,0,0,0,0,0,0,0
675,676,萬緒千頭,0,0,0,0,1,0,0,0,0,0,0,0,0
688,689,半青半黃,0,0,0,0,1,0,0,0,0,0,0,0,0
699,700,無千大萬,0,1,0,0,0,0,0,0,0,0,0,0,0
698,699,百無一能,0,0,0,0,1,0,0,0,0,0,0,0,0
697,698,千金一笑,0,0,0,0,1,0,0,0,0,0,0,0,0
848,849,千伶百俐,0,0,0,0,1,0,0,0,0,0,0,0,0
696,697,三釁三浴,0,0,0,0,1,0,0,0,0,0,0,0,0
695,696,一時半霎,0,0,0,0,1,0,0,0,0,0,0,0,0
849,850,千真萬真,0,0,0,0,1,0,0,0,0,0,0,0,0
954,955,百舉百全,0,0,0,0,1,0,0,0,0,0,0,0,0
693,694,三千食客,0,0,0,0,0,1,0,0,0,0,0,0,0
852,853,九拿十穩,0,0,0,0,1,0,0,0,0,0,0,0,0
691,692,十十五五,1,1,1,1,1,1,0,0,0,0,0,0,0
690,691,殺一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
853,854,七病八痛,0,0,0,0,1,0,0,0,0,0,0,0,0
689,690,得一望十,0,1,0,0,0,0,0,0,0,0,0,0,0
854,855,萬不失一,0,0,0,1,0,0,0,0,0,0,0,0,0
847,848,十羊九牧,0,0,0,0,1,0,0,0,0,0,0,0,0
687,688,三年二載,0,0,0,0,1,0,0,0,0,0,0,0,0
686,687,千狀萬態,0,0,0,0,1,0,0,0,0,0,0,0,0
685,686,九九歸源,0,0,0,0,0,1,0,0,0,0,0,0,0
684,685,萬化千變,0,0,0,0,1,0,0,0,0,0,0,0,0
855,856,十二屬肖,0,0,0,0,0,1,0,0,0,0,0,0,0
955,956,以一奉百,0,1,0,0,0,0,0,0,0,0,0,0,0
682,683,一壼千金,0,0,0,0,1,0,0,0,0,0,0,0,0
681,682,惟一無二,0,1,0,0,0,0,0,0,0,0,0,0,0
776,777,三迴九曲,0,0,0,0,1,0,0,0,0,0,0,0,0
679,680,萬剮千刀,0,0,0,0,1,0,0,0,0,0,0,0,0
678,679,八百孤寒,0,0,0,0,0,1,0,0,0,0,0,0,0
677,678,百計千心,0,0,0,0,1,0,0,0,0,0,0,0,0
956,957,二三其德,0,0,0,0,0,1,0,0,0,0,0,0,0
859,860,以一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
700,701,千枝萬縷,0,0,0,0,1,0,0,0,0,0,0,0,0
703,704,三對六面,0,0,0,0,1,0,0,0,0,0,0,0,0
823,824,百死一生,0,0,0,0,1,0,0,0,0,0,0,0,0
715,716,七嘴八張,0,0,0,0,1,0,0,0,0,0,0,0,0
723,724,千辛百苦,0,0,0,0,1,0,0,0,0,0,0,0,0
722,723,帶甲十萬,1,0,0,0,0,0,0,0,0,0,0,0,0
824,825,百無一有,0,0,0,0,1,0,0,0,0,0,0,0,0
825,826,百卉千葩,0,0,0,0,1,0,0,0,0,0,0,0,0
826,827,九仞一簣,0,0,0,0,1,0,0,0,0,0,0,0,0
721,722,指一說十,0,1,0,0,0,0,0,0,0,0,0,0,0
827,828,千狀萬端,0,0,0,0,1,0,0,0,0,0,0,0,0
828,829,半斤八?,0,0,0,0,1,0,0,0,0,0,0,0,0
720,721,千載一合,0,0,0,0,1,0,0,0,0,0,0,0,0
829,830,一家一計,0,0,0,0,1,0,0,0,0,0,0,0,0
832,833,一斑半點,0,0,0,0,1,0,0,0,0,0,0,0,0
833,834,一趨一步,0,0,0,0,1,0,0,0,0,0,0,0,0
834,835,百靈百驗,0,0,0,0,1,0,0,0,0,0,0,0,0
835,836,三宮六苑,0,0,0,0,1,0,0,0,0,0,0,0,0
836,837,三槐九棘,0,0,0,0,1,0,0,0,0,0,0,0,0
704,705,一朝千古,0,0,0,0,1,0,0,0,0,0,0,0,0
714,715,千里萬馬,0,0,0,0,1,0,0,0,0,0,0,0,0
713,714,四通五達,0,0,0,0,1,0,0,0,0,0,0,0,0
952,953,八門五花,0,0,0,0,1,0,0,0,0,0,0,0,0
712,713,說五道六,0,1,0,0,0,0,0,0,0,0,0,0,0
711,712,六問三推,0,0,0,0,1,0,0,0,0,0,0,0,0
837,838,七縱七擒,0,0,0,0,1,0,0,0,0,0,0,0,0
710,711,三推六問,0,0,0,0,1,0,0,0,0,0,0,0,0
838,839,一身二任,0,0,0,0,1,0,0,0,0,0,0,0,0
708,709,百了千當,0,0,0,0,1,0,0,0,0,0,0,0,0
839,840,千載一會,0,0,0,0,1,0,0,0,0,0,0,0,0
707,708,七高八低,0,0,0,0,1,0,0,0,0,0,0,0,0
842,843,十朝半月,0,0,0,0,1,0,0,0,0,0,0,0,0
844,845,千金一刻,0,0,0,0,1,0,0,0,0,0,0,0,0
845,846,五黃六月,0,0,0,0,1,0,0,0,0,0,0,0,0
940,941,七擔八捱,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,七狼八虎,0,0,0,0,1,0,0,0,0,0,0,0,0
574,575,一鱗一爪,0,0,0,0,1,0,0,0,0,0,0,0,0
219,220,萬古千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
190,191,三貞九烈,0,0,0,0,1,0,0,0,0,0,0,0,0
191,192,七青八黃,0,0,0,0,1,0,0,0,0,0,0,0,0
192,193,七拼八阻,0,0,0,0,1,0,0,0,0,0,0,0,0
193,194,桃三李四,0,1,0,0,0,0,0,0,0,0,0,0,0
194,195,三百千千,1,1,1,1,1,1,0,0,0,0,0,0,0
196,197,三朋四友,0,0,0,0,1,0,0,0,0,0,0,0,0
197,198,夾七夾八,0,1,0,0,0,0,0,0,0,0,0,0,0
198,199,捱三頂四,0,1,0,0,0,0,0,0,0,0,0,0,0
199,200,整千累萬,0,1,0,0,0,0,0,0,0,0,0,0,0
200,201,一隅反三,0,0,0,1,0,0,0,0,0,0,0,0,0
201,202,七瘡八孔,0,0,0,0,1,0,0,0,0,0,0,0,0
202,203,七抓八拿,0,0,0,0,1,0,0,0,0,0,0,0,0
203,204,以一譥百,0,1,0,0,0,0,0,0,0,0,0,0,0
206,207,狂三詐四,0,1,0,0,0,0,0,0,0,0,0,0,0
207,208,雀躍三百,1,0,0,0,0,0,0,0,0,0,0,0,0
208,209,九流百家,0,0,0,0,1,0,0,0,0,0,0,0,0
209,210,萬緒千端,0,0,0,0,1,0,0,0,0,0,0,0,0
210,211,推三宕四,0,1,0,0,0,0,0,0,0,0,0,0,0
212,213,一折一伏,0,0,0,0,1,0,0,0,0,0,0,0,0
213,214,三湘七澤,0,0,0,0,1,0,0,0,0,0,0,0,0
216,217,十蕩十決,0,0,0,0,1,0,0,0,0,0,0,0,0
189,190,三番四復,0,0,0,0,1,0,0,0,0,0,0,0,0
186,187,九九歸原,0,0,0,0,0,1,0,0,0,0,0,0,0
185,186,三差五錯,0,0,0,0,1,0,0,0,0,0,0,0,0
167,168,百計千謀,0,0,0,0,1,0,0,0,0,0,0,0,0
156,157,一杯一曲,0,0,0,0,1,0,0,0,0,0,0,0,0
157,158,千載一時,0,0,0,0,1,0,0,0,0,0,0,0,0
158,159,千撋百就,0,0,0,0,1,0,0,0,0,0,0,0,0
159,160,疊二連三,0,1,0,0,0,0,0,0,0,0,0,0,0
160,161,拿三搬四,0,1,0,0,0,0,0,0,0,0,0,0,0
161,162,十家九空,0,0,0,0,1,0,0,0,0,0,0,0,0
164,165,三親六眷,0,0,0,0,1,0,0,0,0,0,0,0,0
165,166,半面之一,0,0,0,1,0,0,0,0,0,0,0,0,0
166,167,十目十手,0,0,0,0,1,0,0,0,0,0,0,0,0
169,170,七子八?,0,0,0,0,1,0,0,0,0,0,0,0,0
184,185,三楫三讓,0,0,0,0,1,0,0,0,0,0,0,0,0
170,171,買鄰千萬,1,0,0,0,0,0,0,0,0,0,0,0,0
171,172,八街九陌,0,0,0,0,1,0,0,0,0,0,0,0,0
172,173,一言半字,0,0,0,0,1,0,0,0,0,0,0,0,0
174,175,三智五猜,0,0,0,0,1,0,0,0,0,0,0,0,0
175,176,萬口一詞,0,0,0,0,1,0,0,0,0,0,0,0,0
176,177,萬殊一轍,0,0,0,0,1,0,0,0,0,0,0,0,0
177,178,臣一主二,0,1,0,0,0,0,0,0,0,0,0,0,0
181,182,十八地獄,0,0,0,0,0,1,0,0,0,0,0,0,0
183,184,一諾千聲,0,0,0,0,1,0,0,0,0,0,0,0,0
217,218,一差二誤,0,0,0,0,1,0,0,0,0,0,0,0,0
220,221,一琴一鶴,0,0,0,0,1,0,0,0,0,0,0,0,0
572,573,四遠八方,0,0,0,0,1,0,0,0,0,0,0,0,0
224,225,一差二錯,0,0,0,0,1,0,0,0,0,0,0,0,0
263,264,一簞一瓢,0,0,0,0,1,0,0,0,0,0,0,0,0
264,265,百慮一致,0,0,0,0,1,0,0,0,0,0,0,0,0
266,267,九垓八埏,0,0,0,0,1,0,0,0,0,0,0,0,0
267,268,百無一二,1,0,0,1,1,0,0,0,0,0,0,0,0
268,269,八方四路,0,0,0,0,1,0,0,0,0,0,0,0,0
269,270,四德三從,0,0,0,0,1,0,0,0,0,0,0,0,0
270,271,一言半辭,0,0,0,0,1,0,0,0,0,0,0,0,0
271,272,十生九死,0,0,0,0,1,0,0,0,0,0,0,0,0
273,274,以一持萬,0,1,0,0,0,0,0,0,0,0,0,0,0
274,275,一步一計,0,0,0,0,1,0,0,0,0,0,0,0,0
276,277,百歲千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
277,278,千嬌萬態,0,0,0,0,1,0,0,0,0,0,0,0,0
280,281,七言八語,0,0,0,0,1,0,0,0,0,0,0,0,0
284,285,萬壑千岩,0,0,0,0,1,0,0,0,0,0,0,0,0
285,286,三秋一日,0,0,0,0,1,0,0,0,0,0,0,0,0
286,287,半心半意,0,0,0,0,1,0,0,0,0,0,0,0,0
288,289,千無一失,0,0,0,0,1,0,0,0,0,0,0,0,0
289,290,二三其節,0,0,0,0,0,1,0,0,0,0,0,0,0
291,292,十死九生,0,0,0,0,1,0,0,0,0,0,0,0,0
292,293,三灣九轉,0,0,0,0,1,0,0,0,0,0,0,0,0
293,294,三頭八臂,0,0,0,0,1,0,0,0,0,0,0,0,0
262,263,百不一就,0,0,0,0,1,0,0,0,0,0,0,0,0
260,261,暮四朝三,0,1,0,0,0,0,0,0,0,0,0,0,0
259,260,一門一姓,0,0,0,0,1,0,0,0,0,0,0,0,0
244,245,一游一豫,0,0,0,0,1,0,0,0,0,0,0,0,0
230,231,一事一例,0,0,0,0,1,0,0,0,0,0,0,0,0
231,232,挂一漏萬,0,1,0,0,0,0,0,0,0,0,0,0,0
232,233,千里一曲,0,0,0,0,1,0,0,0,0,0,0,0,0
235,236,百孔千創,0,0,0,0,1,0,0,0,0,0,0,0,0
237,238,萬歲千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
238,239,七稜八瓣,0,0,0,0,1,0,0,0,0,0,0,0,0
239,240,一缺十求,0,0,0,0,1,0,0,0,0,0,0,0,0
242,243,一折一磨,0,0,0,0,1,0,0,0,0,0,0,0,0
243,244,挑三攉四,0,1,0,0,0,0,0,0,0,0,0,0,0
245,246,千嚴萬壑,0,0,0,0,1,0,0,0,0,0,0,0,0
258,259,連三接二,0,1,0,0,0,0,0,0,0,0,0,0,0
246,247,推三諉四,0,1,0,0,0,0,0,0,0,0,0,0,0
247,248,千支萬派,0,0,0,0,1,0,0,0,0,0,0,0,0
248,249,萬落千村,0,0,0,0,1,0,0,0,0,0,0,0,0
250,251,接三換九,0,1,0,0,0,0,0,0,0,0,0,0,0
252,253,創一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
253,254,八達四通,0,0,0,0,1,0,0,0,0,0,0,0,0
254,255,一息千里,0,0,0,0,1,0,0,0,0,0,0,0,0
256,257,一階半職,0,0,0,0,1,0,0,0,0,0,0,0,0
257,258,萬無失一,0,0,0,1,0,0,0,0,0,0,0,0,0
155,156,千村萬落,0,0,0,0,1,0,0,0,0,0,0,0,0
154,155,七拉八扯,0,0,0,0,1,0,0,0,0,0,0,0,0
152,153,一本萬殊,0,0,0,0,1,0,0,0,0,0,0,0,0
146,147,千變萬態,0,0,0,0,1,0,0,0,0,0,0,0,0
32,33,三反四復,0,0,0,0,1,0,0,0,0,0,0,0,0
33,34,四百四病,0,0,1,0,1,1,0,0,0,0,0,0,0
35,36,挑三離四,0,1,0,0,0,0,0,0,0,0,0,0,0
36,37,千了百當,0,0,0,0,1,0,0,0,0,0,0,0,0
38,39,四海五湖,0,0,0,0,1,0,0,0,0,0,0,0,0
39,40,推三挨四,0,1,0,0,0,0,0,0,0,0,0,0,0
40,41,一階半級,0,0,0,0,1,0,0,0,0,0,0,0,0
41,42,未知萬一,1,0,0,0,0,0,0,0,0,0,0,0,0
43,44,百不當一,0,0,0,1,0,0,0,0,0,0,0,0,0
45,46,一德一心,0,0,0,0,1,0,0,0,0,0,0,0,0
46,47,三長四短,0,0,0,0,1,0,0,0,0,0,0,0,0
48,49,萬人一心,0,0,0,0,1,0,0,0,0,0,0,0,0
49,50,五合六聚,0,0,0,0,1,0,0,0,0,0,0,0,0
50,51,二滿三平,0,0,0,0,1,0,0,0,0,0,0,0,0
51,52,三旬九食,0,0,0,0,1,0,0,0,0,0,0,0,0
52,53,一差半錯,0,0,0,0,1,0,0,0,0,0,0,0,0
53,54,一遞一口,0,0,0,0,1,0,0,0,0,0,0,0,0
57,58,一十一五,1,1,1,1,1,1,0,0,0,0,0,0,0
60,61,八怪七喇,0,0,0,0,1,0,0,0,0,0,0,0,0
62,63,三番四覆,0,0,0,0,1,0,0,0,0,0,0,0,0
63,64,攢三聚五,0,1,0,0,0,0,0,0,0,0,0,0,0
31,32,三病四痛,0,0,0,0,1,0,0,0,0,0,0,0,0
30,31,三科九等,0,0,0,0,1,0,0,0,0,0,0,0,0
28,29,七搭八搭,0,0,0,0,1,0,0,0,0,0,0,0,0
13,14,一永一觴,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3,懲一戒百,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,九合一匡,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,整千整百,0,1,0,0,0,0,0,0,0,0,0,0,0
6,7,萬喚千呼,0,0,0,0,1,0,0,0,0,0,0,0,0
7,8,三薰三浴,0,0,0,0,1,0,0,0,0,0,0,0,0
8,9,掛一漏九,0,1,0,0,0,0,0,0,0,0,0,0,0
9,10,千回萬囀,0,0,0,0,1,0,0,0,0,0,0,0,0
11,12,萬頭千緒,0,0,0,0,1,0,0,0,0,0,0,0,0
12,13,千筆千言,0,0,0,0,1,0,0,0,0,0,0,0,0
14,15,翻三覆四,0,1,0,0,0,0,0,0,0,0,0,0,0
27,28,萬紅千翠,0,0,0,0,1,0,0,0,0,0,0,0,0
15,16,千依萬順,0,0,0,0,1,0,0,0,0,0,0,0,0
17,18,三墳五典,0,0,0,0,1,0,0,0,0,0,0,0,0
18,19,差三錯四,0,1,0,0,0,0,0,0,0,0,0,0,0
19,20,盈千纍萬,0,1,0,0,0,0,0,0,0,0,0,0,0
20,21,百折千回,0,0,0,0,1,0,0,0,0,0,0,0,0
21,22,四停八當,0,0,0,0,1,0,0,0,0,0,0,0,0
22,23,百羞五味,0,0,0,0,1,0,0,0,0,0,0,0,0
23,24,萬萬無疆,0,0,0,0,0,1,0,0,0,0,0,0,0
24,25,千歲一時,0,0,0,0,1,0,0,0,0,0,0,0,0
64,65,七准八折,0,0,0,0,1,0,0,0,0,0,0,0,0
65,66,一九牲畜,0,0,0,0,0,1,0,0,0,0,0,0,0
66,67,一領十起,0,0,0,0,1,0,0,0,0,0,0,0,0
129,130,一倡三歎,0,0,0,0,1,0,0,0,0,0,0,0,0
113,114,三省四勿,0,0,0,0,1,0,0,0,0,0,0,0,0
115,116,一發千鈞,0,0,0,0,1,0,0,0,0,0,0,0,0
117,118,駢四驪六,0,1,0,0,0,0,0,0,0,0,0,0,0
119,120,一筆三過,0,0,0,0,1,0,0,0,0,0,0,0,0
120,121,三翻四覆,0,0,0,0,1,0,0,0,0,0,0,0,0
122,123,擊一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
125,126,一鱗半甲,0,0,0,0,1,0,0,0,0,0,0,0,0
126,127,用一當十,0,1,0,0,0,0,0,0,0,0,0,0,0
128,129,一毫一絲,0,0,0,0,1,0,0,0,0,0,0,0,0
131,132,一國三公,0,0,0,0,1,0,0,0,0,0,0,0,0
111,112,珠履三千,1,0,0,0,0,0,0,0,0,0,0,0,0
132,133,十拿十穩,0,0,0,0,1,0,0,0,0,0,0,0,0
133,134,一樹百獲,0,0,0,0,1,0,0,0,0,0,0,0,0
134,135,一了千明,0,0,0,0,1,0,0,0,0,0,0,0,0
137,138,千人一律,0,0,0,0,1,0,0,0,0,0,0,0,0
138,139,駢四儷六,0,1,0,0,0,0,0,0,0,0,0,0,0
139,140,四時八起,0,0,0,0,1,0,0,0,0,0,0,0,0
142,143,半就半推,0,0,0,0,1,0,0,0,0,0,0,0,0
144,145,千憂百慮,0,0,0,0,1,0,0,0,0,0,0,0,0
145,146,七損八傷,0,0,0,0,1,0,0,0,0,0,0,0,0
112,113,五侯九伯,0,0,0,0,1,0,0,0,0,0,0,0,0
108,109,累萬盈千,0,1,0,0,0,0,0,0,0,0,0,0,0
68,69,倒四顛三,0,1,0,0,0,0,0,0,0,0,0,0,0
86,87,千手一律,0,0,0,0,1,0,0,0,0,0,0,0,0
69,70,三浴三熏,0,0,0,0,1,0,0,0,0,0,0,0,0
70,71,十死一生,0,0,0,0,1,0,0,0,0,0,0,0,0
72,73,四級三審,0,0,0,0,1,0,0,0,0,0,0,0,0
73,74,萬口一談,0,0,0,0,1,0,0,0,0,0,0,0,0
74,75,百伶百俐,0,0,0,0,1,0,0,0,0,0,0,0,0
79,80,一予一奪,0,0,0,0,1,0,0,0,0,0,0,0,0
82,83,二三其意,0,0,0,0,0,1,0,0,0,0,0,0,0
84,85,巴三覽四,0,1,0,0,0,0,0,0,0,0,0,0,0
85,86,舉一廢百,0,1,0,0,0,0,0,0,0,0,0,0,0
87,88,三不拗六,0,0,0,1,0,0,0,0,0,0,0,0,0
