,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
895,896,一飲一啄,0,0,0,0,1,0,0,6,62,0,0,0,68
963,964,一長一短,0,0,0,0,1,0,2,42,18,0,3,0,65
419,420,一東一西,0,0,0,0,1,0,0,49,13,0,0,0,62
130,131,一式一樣,0,0,0,0,1,0,0,61,0,0,0,0,61
413,414,萬萬千千,1,1,1,1,1,1,0,58,0,0,0,0,58
731,732,三年五載,0,0,0,0,1,0,0,36,22,0,0,0,58
162,163,低三下四,0,1,0,0,0,0,1,33,21,0,0,0,55
680,681,千錘百煉,0,0,0,0,1,0,1,44,9,0,1,0,55
265,266,十室九空,0,0,0,0,1,0,0,51,0,0,3,0,54
875,876,夜半三更,0,0,1,0,0,0,0,52,0,0,0,0,52
719,720,千恩萬謝,0,0,0,0,1,0,2,22,26,0,1,0,51
102,103,十天半月,0,0,0,0,1,0,1,31,18,0,1,0,51
476,477,三番五次,0,0,0,0,1,0,1,50,0,0,0,0,51
423,424,百無一用,0,0,0,0,1,0,0,25,24,0,0,1,50
863,864,上千上萬,0,1,0,0,0,0,3,31,6,1,9,0,50
153,154,三綱五常,0,0,0,0,1,0,3,33,12,0,1,0,49
902,903,四方八面,0,0,0,0,1,0,0,39,4,0,0,5,48
29,30,七橫八豎,0,0,0,0,1,0,0,33,14,0,0,0,47
58,59,朝四暮三,0,1,0,0,0,0,0,28,18,0,1,0,47
81,82,三皇五帝,0,0,0,0,1,0,0,28,12,0,7,0,47
606,607,十三太保,0,0,0,0,0,1,0,30,0,0,17,0,47
77,78,千難萬難,0,0,0,0,1,0,1,45,0,0,0,0,46
339,340,千秋萬歲,0,0,0,0,1,0,0,44,0,0,1,0,45
645,646,一舉二得,0,0,0,0,1,0,2,11,26,1,4,0,44
109,110,一心一德,0,0,0,0,1,0,0,40,3,0,1,0,44
459,460,千依百順,0,0,0,0,1,0,1,8,31,0,1,0,41
163,164,說一是一,0,1,0,0,0,0,1,30,6,0,3,0,40
948,949,一字一淚,0,0,0,0,1,0,0,28,11,0,0,0,39
278,279,百萬雄兵,0,0,0,0,0,1,0,31,4,0,0,0,35
25,26,萬世一系,0,0,0,0,1,0,2,23,6,0,4,0,35
864,865,千山萬壑,0,0,0,0,1,0,0,34,0,0,0,0,34
959,960,一粥一飯,0,0,0,0,1,0,0,33,0,0,0,0,33
783,784,三十三天,0,0,1,0,1,1,1,5,25,0,0,1,32
614,615,烏七八糟,0,0,1,0,0,0,0,14,16,0,1,0,31
726,727,千秋萬代,0,0,0,0,1,0,0,15,10,0,1,0,26
625,626,一來二去,0,0,0,0,1,0,1,25,0,0,0,0,26
465,466,一男半女,0,0,0,0,1,0,0,6,19,0,0,0,25
151,152,三宮六院,0,0,0,0,1,0,1,21,0,0,2,0,24
420,421,三男四女,0,0,0,0,1,0,2,12,8,0,0,2,24
221,222,一張一弛,0,0,0,0,1,0,0,21,0,0,0,0,21
692,693,一曝十寒,0,0,0,0,1,0,0,20,0,0,0,0,20
603,604,丟三忘四,0,1,0,0,0,0,0,7,12,0,0,0,19
786,787,千巖萬壑,0,0,0,0,1,0,0,19,0,0,0,0,19
789,790,一目十行,0,0,0,0,1,0,0,12,2,0,5,0,19
951,952,一悲一喜,0,0,0,0,1,0,0,6,12,0,0,0,18
37,38,半明半暗,0,0,0,0,1,0,0,17,1,0,0,0,18
168,169,一以當十,0,0,0,1,0,0,0,18,0,0,0,0,18
544,545,六韜三略,0,0,0,0,1,0,0,17,0,0,0,0,17
782,783,一碧萬頃,0,0,0,0,1,0,0,17,0,0,0,0,17
67,68,一星半點,0,0,0,0,1,0,0,16,0,0,0,0,16
323,324,一擲百萬,1,0,0,1,1,0,0,4,12,0,0,0,16
793,794,三起三落,0,0,0,0,1,0,0,8,5,0,2,0,15
281,282,萬馬千軍,0,0,0,0,1,0,0,11,4,0,0,0,15
846,847,四時八節,0,0,0,0,1,0,0,14,0,0,0,0,14
136,137,一瘸一拐,0,0,0,0,1,0,0,6,7,0,1,0,14
332,333,一唱三歎,0,0,0,0,1,0,0,14,0,0,0,0,14
486,487,半開半掩,0,0,0,0,1,0,0,13,1,0,0,0,14
226,227,七張八嘴,0,0,0,0,1,0,0,14,0,0,0,0,14
383,384,橫七八豎,0,0,1,0,0,0,0,14,0,0,0,0,14
526,527,三三五五,1,1,1,1,1,1,0,12,0,0,1,0,13
